Saved Date,Job Url,Job Title,Company Name
"5/11/21, 3:13 AM",http://www.linkedin.com/jobs/view/2496680160,"Senior Product Manager, Growth - Location Flexible",Dropbox
"5/23/16, 7:31 PM",http://www.linkedin.com/jobs/view/136737228,Knowledge Analyst- Healthcare,Boston Consulting Group (BCG)
"5/11/21, 3:16 AM",http://www.linkedin.com/jobs/view/2533334920,Product Manager,Jarvis Cole
"5/8/21, 9:46 PM",http://www.linkedin.com/jobs/view/2524954023,"Senior Product Manager, Billing",Lob
"5/11/21, 3:11 AM",http://www.linkedin.com/jobs/view/2527224506,Sr. Product Manager,Expedia Group
"5/8/21, 9:46 PM",http://www.linkedin.com/jobs/view/2470861093,"Group Product Management, Real Estate",Better
"5/14/21, 2:28 AM",http://www.linkedin.com/jobs/view/2509134380,"Sr. Product Manager, Growth",Adobe
"5/14/21, 2:26 AM",http://www.linkedin.com/jobs/view/2533597140,Head of Partner and MP Analytics,PayPal
"5/14/21, 2:26 AM",http://www.linkedin.com/jobs/view/2528308799,"Data Engineer, Analytics Platform",Adobe
"5/11/21, 3:11 AM",http://www.linkedin.com/jobs/view/2543039781,"Product Manager, WhatsApp",WhatsApp
"5/8/21, 9:40 PM",http://www.linkedin.com/jobs/view/2524985917,"Senior Manager/Associate Director, Marketing Innovation and Strategy (Bangkok Based, Relocation Provided)",Agoda
"5/14/21, 2:27 AM",http://www.linkedin.com/jobs/view/2533188671,"Analytics Manager, Marketing",Bombas
"7/8/18, 2:29 PM",http://www.linkedin.com/jobs/view/608316130,Customer Experience Business Analyst - Gurgaon,Airbnb
"7/8/18, 2:28 PM",http://www.linkedin.com/jobs/view/689464790,"Insights Analyst, LinkedIn Sales Solutions",LinkedIn
"5/11/21, 3:15 AM",http://www.linkedin.com/jobs/view/2522560239,Business Intelligence Analytics Lead,TechYard
"5/14/21, 2:26 AM",http://www.linkedin.com/jobs/view/2542310632,Analytics Program Manager,Meta
"5/7/21, 12:34 AM",http://www.linkedin.com/jobs/view/2492641928,"Manager, Revenue Analytics, Peacock",Peacock
"5/14/21, 2:28 AM",http://www.linkedin.com/jobs/view/2548933994,Product Manager/Strategy 3-ProdDev,Oracle
"5/8/21, 9:39 PM",http://www.linkedin.com/jobs/view/2470842633,"Senior Product Manager, eCommerce Customer Experience",Tripadvisor
"5/11/21, 3:10 AM",http://www.linkedin.com/jobs/view/2524015019,Senior Market Insights Analyst,Lyft
"5/11/21, 3:14 AM",http://www.linkedin.com/jobs/view/2452578762,"Senior Pre-sales Manager - Strategic Accounts, Data & AI",Databricks
"5/11/21, 3:16 AM",http://www.linkedin.com/jobs/view/2523782440,Senior Digital Strategy & Analytics Manager,Docusign
"5/11/21, 3:16 AM",http://www.linkedin.com/jobs/view/2512571652,Manager - Advanced Analytics,Gap Inc.
"5/11/21, 3:10 AM",http://www.linkedin.com/jobs/view/2514212161,"Senior Manager I, Data Analytics - Customer Insights & Analysis, Walmart Connect",Walmart
"6/30/19, 7:12 PM",http://www.linkedin.com/jobs/view/1321508009,Data Analyst,de Bijenkorf
"5/14/21, 2:28 AM",http://www.linkedin.com/jobs/view/2529973156,"Manager, Business Intelligence & Analytics - HBO Max",WarnerMedia
"9/22/15, 4:45 PM",http://www.linkedin.com/jobs/view/74360884,Senior Knowledge Analyst - Customer & Marketing Analytics,Boston Consulting Group (BCG)
"5/11/21, 3:10 AM",http://www.linkedin.com/jobs/view/2542595073,Senior Product Manager,Oracle
"5/8/21, 9:44 PM",http://www.linkedin.com/jobs/view/2513615102,Senior Product Manager - Creative Tooling for Audio Ads,Spotify
"5/11/21, 3:15 AM",http://www.linkedin.com/jobs/view/2513176184,Customer Analytics Product Manager,YETI
"5/14/21, 2:27 AM",http://www.linkedin.com/jobs/view/2548341774,Data Analytics Manager,American Express
"7/8/18, 2:25 PM",http://www.linkedin.com/jobs/view/749284097,Analyst - Planning & Analysis,IndiGo (InterGlobe Aviation Ltd)
"5/14/21, 2:27 AM",http://www.linkedin.com/jobs/view/2522294939,"Manager, Marketing Analytics, Tableau",Salesforce
"5/11/21, 3:14 AM",http://www.linkedin.com/jobs/view/2503595364,"Senior Product Manager, Enterprise Tools",Chime
"5/11/21, 3:16 AM",http://www.linkedin.com/jobs/view/2486520769,"Manager, Product Growth",Meta
"5/7/21, 12:34 AM",http://www.linkedin.com/jobs/view/2531581687,Analytics Product Manager,Thirty Madison
"12/8/15, 5:40 AM",http://www.linkedin.com/jobs/view/89060840,Analyst - EPM,Huron
"5/11/21, 3:13 AM",http://www.linkedin.com/jobs/view/2503521759,Manager Consumer Performance Analytics,PayPal
"1/16/19, 8:01 PM",http://www.linkedin.com/jobs/view/1052445016,Business Analyst II,First Data Corporation
"5/14/21, 2:26 AM",http://www.linkedin.com/jobs/view/2540985072,"Manager, Consumer Product Analytics, Peacock",Peacock
"6/30/19, 7:08 PM",http://www.linkedin.com/jobs/view/1219330636,Program Manager - Business Reporting,Booking.com
"5/11/21, 3:12 AM",http://www.linkedin.com/jobs/view/2494363742,"Senior Product Manager, Decision Making",Better
"5/14/21, 2:27 AM",http://www.linkedin.com/jobs/view/2542636722,"Senior Business Insights Manager, Growth",Capsule
"5/8/21, 9:47 PM",http://www.linkedin.com/jobs/view/2524980570,"Product Manager, New Use Cases",DoorDash
"5/8/21, 9:44 PM",http://www.linkedin.com/jobs/view/2524983077,Principal Product Manager - Tech,Amazon
