Question,Answer
How many years of work experience do you have with Product Management?,4
How many years of work experience do you have with Video Conferencing?,5
How many years of work experience do you have with Conversion Optimization?,3
How many years of work experience do you have with Electronic Medical Record (EMR)?,2
Cover letter,
How many years of work experience do you have with E-Commerce?,7
How many years of work experience do you have with Microsoft Office?,6
How many years of work experience do you have with Google Analytics?,3
How many years of work experience do you have with Databases?,5
How many years of work experience do you have with B2C Marketing?,3
How many years of work experience do you have with Relational Databases?,5
How many years of work experience do you have with SAP Products?,2
How many years of work experience do you have with Technical Leadership?,3
How many years of work experience do you have with Marketing Agencies?,3
Description,
Major / Field of study,
How many years of work experience do you have with SQL?,6
How many years of work experience do you have with Outside Sales?,2
How many years of work experience do you have with Business Process?,4
How many years of MRKT experience do you currently have?,1
How many years of work experience do you have with Content Management Systems (CMS)?,1
How many years of work experience do you have with Professional Skills?,8
How many years of work experience do you have with R (Programming Language)?,1
How many years of work experience do you have with Adobe Creative Suite?,0
Do you have the following license or certification: Project Management Professional?,No
Please submit a resume or LinkedIn profile, -191884561.pdf
How many years of work experience do you have with SQL Server Reporting Services (SSRS)?,1
State / Province,
How many years of PRJM experience do you currently have?,4
How many years of CNSL experience do you currently have?,6
How many years of work experience do you have with Strategic Planning?,4
First name,
How many years of work experience do you have with SharePoint?,4
How many years of work experience do you have with Communication?,4
How many years of work experience do you have with Algolia?,0
How many years of work experience do you have with Product Life Cycle?,2
How many years of work experience do you have with Microsoft Excel?,7
How many years of work experience do you have with Marketing?,3
What is your level of proficiency in chi?,None
How many years of work experience do you have with Open-Source Software?,4
How many years of work experience do you have with Slack?,3
How many years of work experience do you have with Custom Websites?,2
How many years of work experience do you have with Machine Learning?,3
How many years of work experience do you have with DTC?,6
City,
Are you comfortable working in a hybrid setting?,Yes
Do you have the following license or certification: Certified Scrum Product Owner?,No
Gender,Male
How many years of work experience do you have with IT Management?,4
How many years of work experience do you have with Blogger?,0
Company,
How many years of work experience do you have with Web Analytics?,3
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
How many years of work experience do you have with Financial Planning and Analysis (FP&A)?,2
How many years of work experience do you have with Customer Data?,5
How many years of work experience do you have with Sales Channel?,3
Last name,
<strong>Disability</strong>,OptOut
How many years of work experience do you have with Azure SQL?,2
How many years of work experience do you have with COBOL II?,0
How many years of work experience do you have with Excel Dashboards?,6
How many years of MGMT experience do you currently have?,4
How many years of work experience do you have with Early-Stage Startups?,6
How many years of work experience do you have with Twitter?,3
Degree,
How many years of work experience do you have with Data Analytics?,7
How many years of work experience do you have with Strategy Implementation?,4
How many years of work experience do you have with Mobile Applications?,4
How many years of work experience do you have with IBM SPSS?,0
How many years of work experience do you have with PyTorch?,1
How many years of work experience do you have with Salesforce.com?,2
How many years of work experience do you have with Framework Design?,4
How many years of work experience do you have with Mobile Application Development?,3
How many years of work experience do you have with Acquisition Marketing?,3
How many years of work experience do you have with Merchandise Planning?,1
How many years of work experience do you have with Product Strategy?,5
Your title,
How many years of work experience do you have with Microsoft Word?,7
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Google BigQuery?,2
How many years of work experience do you have with Agile Methodologies?,4
How many years of work experience do you have with Digital Product Development?,5
How many years of work experience do you have with Business Intelligence (BI)?,5
How many years of work experience do you have with B2C e-commerce?,5
How many years of urn:li:industry:4 experience do you currently have?,5
How many years of work experience do you have with Stakeholder Management?,5
How many years of work experience do you have with SAP ERP?,2
How many years of work experience do you have with Startups?,6
